onset	duration	laughterdummy
0	1.5	0
1.5	1.5	0
3	1.5	0
4.5	1.5	0
6	1.5	0
7.5	1.5	0
9	1.5	0
10.5	1.5	0
12	1.5	0
13.5	1.5	0
15	1.5	0
16.5	1.5	0
18	1.5	0
19.5	1.5	0
21	1.5	0
22.5	1.5	0
24	1.5	0
25.5	1.5	0
27	1.5	0
28.5	1.5	0
30	1.5	0
31.5	1.5	0
33	1.5	0
34.5	1.5	0
36	1.5	0
37.5	1.5	0
39	1.5	1
40.5	1.5	1
42	1.5	1
43.5	1.5	1
45	1.5	1
46.5	1.5	1
48	1.5	1
49.5	1.5	1
51	1.5	1
52.5	1.5	1
54	1.5	1
55.5	1.5	1
57	1.5	0
58.5	1.5	0
60	1.5	0
61.5	1.5	0
63	1.5	0
64.5	1.5	0
66	1.5	0
67.5	1.5	0
69	1.5	1
70.5	1.5	1
72	1.5	0
73.5	1.5	0
75	1.5	0
76.5	1.5	0
78	1.5	0
79.5	1.5	0
81	1.5	0
82.5	1.5	1
84	1.5	1
85.5	1.5	1
87	1.5	0
88.5	1.5	0
90	1.5	1
91.5	1.5	1
93	1.5	0
94.5	1.5	0
96	1.5	0
97.5	1.5	0
99	1.5	0
100.5	1.5	0
102	1.5	0
103.5	1.5	0
105	1.5	0
106.5	1.5	0
108	1.5	0
109.5	1.5	1
111	1.5	1
112.5	1.5	1
114	1.5	0
115.5	1.5	0
117	1.5	0
118.5	1.5	0
120	1.5	0
121.5	1.5	0
123	1.5	0
124.5	1.5	0
126	1.5	0
127.5	1.5	0
129	1.5	0
130.5	1.5	0
132	1.5	0
133.5	1.5	0
135	1.5	0
136.5	1.5	0
138	1.5	0
139.5	1.5	0
141	1.5	0
142.5	1.5	0
144	1.5	0
145.5	1.5	0
147	1.5	0
148.5	1.5	1
150	1.5	1
151.5	1.5	1
153	1.5	0
154.5	1.5	0
156	1.5	0
157.5	1.5	0
159	1.5	0
160.5	1.5	0
162	1.5	0
163.5	1.5	0
165	1.5	0
166.5	1.5	0
168	1.5	0
169.5	1.5	0
171	1.5	0
172.5	1.5	0
174	1.5	0
175.5	1.5	0
177	1.5	0
178.5	1.5	0
180	1.5	0
181.5	1.5	1
183	1.5	1
184.5	1.5	0
186	1.5	0
187.5	1.5	0
189	1.5	0
190.5	1.5	0
192	1.5	0
193.5	1.5	0
195	1.5	0
196.5	1.5	0
198	1.5	0
199.5	1.5	0
201	1.5	0
202.5	1.5	0
204	1.5	0
205.5	1.5	0
207	1.5	0
208.5	1.5	0
210	1.5	0
211.5	1.5	0
213	1.5	0
214.5	1.5	0
216	1.5	0
217.5	1.5	0
219	1.5	0
220.5	1.5	0
222	1.5	0
223.5	1.5	0
225	1.5	0
226.5	1.5	0
228	1.5	0
229.5	1.5	0
231	1.5	0
232.5	1.5	0
234	1.5	0
235.5	1.5	0
237	1.5	0
238.5	1.5	0
240	1.5	0
241.5	1.5	0
243	1.5	0
244.5	1.5	0
246	1.5	0
247.5	1.5	0
249	1.5	0
250.5	1.5	1
252	1.5	1
253.5	1.5	1
255	1.5	1
256.5	1.5	0
258	1.5	0
259.5	1.5	0
261	1.5	0
262.5	1.5	0
264	1.5	1
265.5	1.5	1
267	1.5	1
268.5	1.5	0
270	1.5	0
271.5	1.5	0
273	1.5	0
274.5	1.5	0
276	1.5	0
277.5	1.5	0
279	1.5	0
280.5	1.5	1
282	1.5	1
283.5	1.5	1
285	1.5	1
286.5	1.5	0
288	1.5	0
289.5	1.5	0
291	1.5	0
292.5	1.5	0
294	1.5	0
295.5	1.5	0
297	1.5	0
298.5	1.5	0
300	1.5	1
301.5	1.5	1
303	1.5	0
304.5	1.5	0
306	1.5	0
307.5	1.5	0
309	1.5	0
310.5	1.5	0
312	1.5	0
313.5	1.5	0
315	1.5	0
316.5	1.5	0
318	1.5	1
319.5	1.5	1
321	1.5	1
322.5	1.5	1
324	1.5	0
325.5	1.5	0
327	1.5	0
328.5	1.5	0
330	1.5	0
331.5	1.5	0
333	1.5	0
334.5	1.5	0
336	1.5	0
337.5	1.5	0
339	1.5	0
340.5	1.5	0
342	1.5	0
343.5	1.5	0
345	1.5	0
346.5	1.5	0
348	1.5	0
349.5	1.5	0
351	1.5	0
352.5	1.5	1
354	1.5	1
355.5	1.5	1
357	1.5	1
358.5	1.5	1
360	1.5	1
361.5	1.5	1
363	1.5	1
364.5	1.5	1
366	1.5	0
367.5	1.5	0
369	1.5	0
370.5	1.5	0
372	1.5	0
373.5	1.5	0
375	1.5	0
376.5	1.5	0
378	1.5	0
379.5	1.5	0
381	1.5	0
382.5	1.5	0
384	1.5	0
385.5	1.5	0
387	1.5	0
388.5	1.5	0
