,text,emb_dict,onset_time,offset_time,tr
0,So,so,3.59,3.61,5.0
1,I’m,i'm,25.91,26.14,20.0
2,um,um,26.139999,26.679999,20.0
3,five,five,27.05,27.36,21.0
4,thousand,thousand,27.36,27.67,21.0
5,feet,feet,27.67,27.98,21.0
6,above,above,28.059999,28.559999,21.0
7,Albany,albany,28.65,29.11,22.0
8,on,on,29.15,29.29,22.0
9,just,just,29.29,29.43,22.0
10,a,a,29.429999,29.469999,22.0
11,perfect,perfect,29.469999,29.789999,22.0
12,day,day,29.79,30.03,22.0
13,beautiful,beautiful,30.03,30.33,23.0
14,blue,blue,30.33,30.59,23.0
15,sky,sky,30.59,30.96,23.0
16,not,not,30.98,31.13,23.0
17,a,a,31.13,31.17,23.0
18,cloud,cloud,31.17,31.41,23.0
19,in,in,31.41,31.47,23.0
20,the,the,31.469999,31.569999,23.0
21,sky,sky,31.57,31.88,24.0
22,I,I,31.7,31.7,24.0
23,can,can,31.99,32.11,24.0
24,see,see,32.11,32.44,24.0
25,the,the,32.66,32.78,24.0
26,horizon,horizon,32.78,33.39,24.0
27,in,in,33.4,33.54,25.0
28,every,every,33.54,33.76,25.0
29,direction,direction,33.759999,34.309999,25.0
30,when,when,34.879999,35.179999,26.0
31,the,the,35.18,35.48,26.0
32,uh,uh,35.48,35.63,26.0
33,girl,girl,35.65,35.99,26.0
34,who,who,35.99,36.05,26.0
35,just,just,36.049999,36.259999,27.0
36,pushed,pushed,36.26,36.48,27.0
37,me,me,36.48,36.62,27.0
38,out,out,36.62,36.69,27.0
39,of,of,36.690001,36.790001,27.0
40,the,the,36.8,36.92,27.0
41,airplane,airplane,36.92,37.49,27.0
42,screams,screams,37.5,38.02,28.0
43,Wait,wait,38.02,38.36,28.0
44,wait,wait,38.36,38.64,28.0
45,your,your,38.65,38.87,28.0
46,chute,<unk>,38.87,39.41,28.0
47,It’s,it's,45.4,46.15,33.0
48,And,and,47.94,48.61,34.0
49,um,um,48.65,49.32,35.0
50,and,and,49.549999,49.709999,36.0
51,she’s,she's,49.71,49.87,36.0
52,gone,gone,49.87,50.15,36.0
53,with,with,50.16,50.29,36.0
54,the,the,50.29,50.34,36.0
55,plane,plane,50.34,50.64,36.0
56,Um,um,50.969999,51.479999,36.0
57,I,i,52.809999,52.909999,38.0
58,don’t,don't,52.91,53.05,38.0
59,think,think,53.049999,53.289999,38.0
60,the,the,53.299999,53.569999,38.0
61,sentence,sentence,53.59,53.93,38.0
62,ends,ends,53.959999,54.299999,38.0
63,you,you,54.299999,54.389999,39.0
64,know,know,54.4,54.51,39.0
65,functioning,functioning,54.51,54.93,39.0
66,properly,properly,54.93,55.45,39.0
67,have,have,55.46,55.61,39.0
68,a,a,55.61,55.65,40.0
69,great,great,55.65,55.89,40.0
70,jump,jump,55.89,56.15,40.0
71,Um,um,57.34,57.86,41.0
72,I,i,57.87,57.92,41.0
73,think,think,57.93,58.1,41.0
74,it,it,58.1,58.19,41.0
75,ends,ends,58.19,58.53,41.0
76,worse,worse,58.56,59.18,42.0
77,Um,um,59.39,59.9,42.0
78,I,i,59.9,59.94,42.0
79,don’t,don't,59.94,60.04,42.0
80,know,know,60.04,60.14,43.0
81,a,a,60.14,60.2,43.0
82,lot,lot,60.2,60.37,43.0
83,about,about,60.37,60.54,43.0
84,skydiving,skydiving,60.54,61.14,43.0
85,but,but,61.45,61.88,43.0
86,um,um,61.88,62.21,44.0
87,I,i,62.23,62.29,44.0
88,would,would,62.29,62.45,44.0
89,think,think,62.46,62.91,44.0
90,that,that,62.929999,63.229999,44.0
91,you,you,63.26,63.41,45.0
92,know,know,63.41,63.68,45.0
93,a,a,63.69,64.08,45.0
94,a,a,63.69,64.08,45.0
95,working,working,64.09,64.46,45.0
96,chute,<unk>,64.469999,64.749999,45.0
97,lends,lends,64.77,65.05,46.0
98,to,to,65.05,65.18,46.0
99,a,a,65.179999,65.239999,46.0
100,better,better,65.24,65.56,46.0
101,a,a,66.04,66.12,47.0
102,better,better,66.12,66.33,47.0
103,jump,jump,66.33,66.79,47.0
104,especially,especially,66.88,67.46,47.0
105,towards,towards,67.66,67.9,48.0
106,the,the,67.9,68.04,48.0
107,end,end,68.04,68.5,48.0
108,So,so,70.25,70.27,49.0
109,what,what,70.27,70.42,49.0
110,happened,happened,70.43,70.76,49.0
111,was,was,70.76,70.93,50.0
112,I,i,70.93,70.98,50.0
113,was,was,70.98,71.07,50.0
114,in,in,71.07,71.15,50.0
115,my,my,71.15,71.24,50.0
116,forties,forties,71.24,71.59,50.0
117,suddenly,suddenly,71.6,72.11,50.0
118,surprisingly,surprisingly,72.35,73.06,51.0
119,and,and,73.6,74.01,52.0
120,um,um,74.01,74.57,52.0
121,I,i,74.71,75.05,52.0
122,didn’t,didn't,76.2,76.37,53.0
123,want,want,76.37,76.5,53.0
124,to,to,76.5,76.52,54.0
125,be,be,76.52,76.63,54.0
126,one,one,76.63,76.73,54.0
127,of,of,76.73,76.82,54.0
128,those,those,76.82,76.96,54.0
129,kind,kind,76.96,77.14,54.0
130,of,of,77.14,77.36,54.0
131,uh,uh,77.36,77.7,54.0
132,midlife,midlife,77.71,78.08,54.0
133,crisis,crisis,78.08,78.46,55.0
134,guys,guys,78.46,78.73,55.0
135,who,who,78.73,78.81,55.0
136,runs,runs,78.81,79.08,55.0
137,out,out,79.08,79.21,55.0
138,and,and,79.21,79.31,55.0
139,gets,gets,79.31,79.46,55.0
140,a,a,79.46,79.52,55.0
141,convertible,convertible,79.52,80.16,56.0
142,Besides,besides,81.03,81.59,57.0
143,who,who,81.599999,81.749999,57.0
144,needs,needs,81.75,81.96,57.0
145,two,two,81.96,82.11,57.0
146,convertibles,convertibles,82.11,82.93,57.0
147,And,and,84.74,85.12,59.0
148,I,i,86.759999,87.109999,60.0
149,um,um,87.11,87.69,61.0
150,you,you,87.79,87.95,61.0
151,know,know,87.95,88.24,61.0
152,I,i,88.25,88.32,61.0
153,had,had,88.32,88.42,61.0
154,already,already,88.42,88.63,61.0
155,gotten,gotten,88.629999,88.809999,62.0
156,divorced,divorced,88.809999,89.209999,62.0
157,so,so,89.209999,89.309999,62.0
158,that,that,89.309999,89.449999,62.0
159,was,was,89.449999,89.589999,62.0
160,already,already,89.59,89.79,62.0
161,checked,checked,89.789999,90.169999,62.0
162,off,off,90.17,90.55,63.0
163,Uh,uh,91.53,91.96,64.0
164,but,but,92.28,92.38,64.0
165,I,i,92.38,92.44,64.0
166,needed,needed,92.44,92.63,64.0
167,to,to,92.64,92.73,64.0
168,do,do,92.73,92.9,64.0
169,something,something,92.9,93.39,64.0
170,so,so,93.39,93.49,65.0
171,I,i,93.49,93.54,65.0
172,went,went,93.54,93.74,65.0
173,to,to,93.74,93.83,65.0
174,like,like,93.83,93.99,65.0
175,cliche,cliche,93.99,94.43,65.0
176,number,number,94.43,94.69,65.0
177,three,three,94.69,95.11,66.0
178,and,and,95.45,95.63,66.0
179,I,i,95.63,95.69,66.0
180,drive,drive,95.69,96.07,66.0
181,upstate,upstate,96.09,96.61,67.0
182,to,to,96.62,96.76,67.0
183,this,this,96.76,97.26,67.0
184,skydiving,skydiving,97.32,98.04,67.0
185,academy,academy,98.04,98.72,68.0
186,uh,uh,99.86,100.15,69.0
187,near,near,100.15,100.37,69.0
188,Albany,albany,100.37,100.86,69.0
